Date,Open,High,Low,Close,Adj Close,Volume
2022-03-01,1963.06005859375,1969.1099853515625,1943.260009765625,1953.280029296875,1953.280029296875,31000200
2022-03-02,1938.6199951171875,1967.25,1937.6199951171875,1958.2900390625,1958.2900390625,23298800
2022-03-03,1965.760009765625,1969.9100341796875,1943.510009765625,1943.510009765625,1943.510009765625,36406500
2022-03-06,1937.9599609375,1949.5400390625,1932.9300537109375,1944.8699951171875,1944.8699951171875,9951600
2022-03-07,1920.760009765625,1946.4599609375,1902.8199462890625,1935.949951171875,1935.949951171875,37099000
2022-03-08,1909.9100341796875,1934.1400146484375,1905.68994140625,1915.6400146484375,1915.6400146484375,46358700
2022-03-09,1930.469970703125,1948.9100341796875,1920.6500244140625,1948.9100341796875,1948.9100341796875,48961600
2022-03-10,1952.530029296875,1956.8800048828125,1920.489990234375,1930.4000244140625,1930.4000244140625,43428500
2022-03-13,1917.3699951171875,1919.1700439453125,1899.7099609375,1901.260009765625,1901.260009765625,12575400
2022-03-14,1909.739990234375,1921.739990234375,1904.3800048828125,1912.780029296875,1912.780029296875,24619600
2022-03-15,1894.77001953125,1930.3299560546875,1891.3499755859375,1930.0,1930.0,31909200
2022-03-16,1950.06005859375,1969.260009765625,1948.300048828125,1961.0699462890625,1961.0699462890625,52129300
2022-03-20,2010.43994140625,2013.199951171875,1999.52001953125,2007.22998046875,2007.22998046875,14719100
2022-03-21,2004.5400390625,2007.4599609375,1993.530029296875,2003.43994140625,2003.43994140625,29092900
2022-03-22,2009.2099609375,2023.75,2004.7900390625,2022.6500244140625,2022.6500244140625,29174100
2022-03-23,2024.4599609375,2027.5699462890625,2012.0400390625,2027.5699462890625,2027.5699462890625,28490400
2022-03-24,2038.6199951171875,2041.06005859375,2028.77001953125,2036.489990234375,2036.489990234375,67670900
2022-03-27,2046.6700439453125,2049.56005859375,2032.510009765625,2035.1700439453125,2035.1700439453125,13764900
2022-03-28,2023.010009765625,2034.6199951171875,2021.56005859375,2030.0799560546875,2030.0799560546875,38194300
2022-03-29,2038.3499755859375,2044.43994140625,2032.8900146484375,2036.25,2036.25,43102000
2022-03-30,2036.4000244140625,2042.5699462890625,2022.199951171875,2042.43994140625,2042.43994140625,33328300
